rownumber,id,date,primaryCSC,rat weight (kg),systemic drug,DREADDs drug,DREADDs drug route,systemic dose (% or mg/kg/min),systemic drug concentration (mg/mL),total systemic time (min),DREADDs drug concentration (mg/mL),DREADDs drug dose (mg/kg),zero time (s),channel of interest,event rows,emg channel,events filename,states filename,Xtrode filenames,Xtrode regions,units CSCs,LFP and EEG CSCs,Baseline Period (min),Systemic Drug Baseline Period (min),EMG Anesthesia Period (min),comments
61,R190619A,190801,D:\data\R190619A_190801_syst_propofol_CNO\PFCvsPCEEG.ncs,0.658,propofol,CNO,ip,1.67,10,15,0.5,1,16040.2709990000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"CNO was given at  2:28 pm, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording. Cannula came out mid propofol infusion"
62,R190617A,190802,D:\data\R190617A_190802_syst_propofol_CNO\PFCvsPCEEG.ncs,0.567,propofol,CNO,ip,1.67,10,15,0.5,1,3247.58701200000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"CNO was given at 2:54 pm, ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Heating pad was already started before recording."
63,R190620,190805,D:\data\R190620_190805_saline\PFCvsPCEEG.ncs,0.575,none,saline,ip,NA,NA,NA,NA,NA,1901.80856800000,,,EMG.ncs,Events.nev,R190620_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,284.95,
64,R190620,190806,D:\data\R190620_190806_CNO\PFCvsPCEEG.ncs,0.580,none,CNO,ip,NA,NA,NA,0.5,1,6762.79670100000,,,EMG.ncs,Events.nev,R190620_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,220+(46/60),
65,R190619B,190807,D:\data\R190619B_190807_saline\PFCvsPCEEG.ncs,0.655,none,saline,ip,NA,NA,NA,NA,NA,3947.32828800000,,,EMG.ncs,Events.nev,R190619B_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,202.95,
66,R190619B,190808,D:\data\R190619B_190808_CNO\PFCvsPCEEG.ncs,0.653,none,CNO,ip,NA,NA,NA,0.5,1,5136.53074400000,,,EMG.ncs,Events.nev,R190619B_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,30+(49/60),
67,R190618A,190809,D:\data\R190618A_190809_CNO\PFCvsPCEEG.ncs,0.674,none,CNO,ip,NA,NA,NA,0.5,1,3963.87440500000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,
68,R190618A,190812,D:\data\R190618A_190812_saline\PFCvsPCEEG.ncs,0.672,none,saline,ip,NA,NA,NA,NA,NA,2858.11919000000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,Headstage was plugged into the input board.
69,R190617B,190813,D:\data\R190617B_190813\PFCvsPCEEG.ncs,0.741,none,none,NA,NA,NA,NA,NA,NA,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,Headstage was plugged into the input board.
70,R190617A,190813,D:\data\R190617A_190813_saline\PFCvsPCEEG.ncs,0.614,none,saline,ip,NA,NA,NA,NA,NA,4131.03152500000,,,EMG.ncs,Events.nev,R190617A_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,232+(32/60),Headstage was plugged into the input board.
